2024-04-21 17:51:31.467: Tri-GFN(
  (ae): AE(
    (enc_1): Linear(in_features=2000, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=20, bias=True)
    (dec_1): Linear(in_features=20, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2000, bias=True)
    (act): LeakyReLU(negative_slope=0.2, inplace=True)
  )
  (gcn_1): GCNLayer(
    (conv): TransformerConv(2000, 500, heads=1)
  )
  (gcn_2): GCNLayer(
    (conv): TransformerConv(500, 500, heads=1)
  )
  (gcn_3): GCNLayer(
    (conv): TransformerConv(500, 2000, heads=1)
  )
  (gcn_4): GCNLayer(
    (conv): TransformerConv(2000, 20, heads=1)
  )
  (gcn_fc): GCNLayer(
    (conv): TransformerConv(20, 4, heads=1)
  )
  (gcn_5): GCNLayer(
    (conv): TransformerConv(20, 2000, heads=1)
  )
  (gcn_6): GCNLayer(
    (conv): TransformerConv(2000, 500, heads=1)
  )
  (gcn_7): GCNLayer(
    (conv): TransformerConv(500, 500, heads=1)
  )
  (gcn_8): GCNLayer(
    (conv): TransformerConv(500, 2000, heads=1)
  )
  (gnn_1): GCNLayer(
    (conv): GCNConv(2000, 500)
  )
  (gnn_2): GCNLayer(
    (conv): GCNConv(500, 500)
  )
  (gnn_3): GCNLayer(
    (conv): GCNConv(500, 2000)
  )
  (gnn_4): GCNLayer(
    (conv): GCNConv(2000, 20)
  )
  (gae_fc): GCNLayer(
    (conv): GCNConv(20, 4)
  )
  (gnn_5): GCNLayer(
    (conv): GCNConv(20, 2000)
  )
  (gnn_6): GCNLayer(
    (conv): GCNConv(2000, 500)
  )
  (gnn_7): GCNLayer(
    (conv): GCNConv(500, 500)
  )
  (gnn_8): GCNLayer(
    (conv): GCNConv(500, 2000)
  )
  (s): Sigmoid()
)
2024-04-21 17:51:31.468: Namespace(name='reut', cuda=True, n_z=20, alpha=0.1, beta=0.05, lr=0.0001, n_clusters=4, n_input=2000)
2024-04-21 17:51:31.468: metrics:	 acc	 nmi	 ari	 f1
2024-04-21 17:51:49.429: epoch44 Q1:	0.8019	0.5246	0.6066	0.7170
2024-04-21 17:51:49.745: epoch45 Q1:	0.8025	0.5253	0.6074	0.7176
2024-04-21 17:51:50.160: epoch46 Q1:	0.8027	0.5255	0.6078	0.7178
2024-04-21 17:51:50.568: epoch47 Q1:	0.8028	0.5261	0.6081	0.7179
2024-04-21 17:51:50.983: epoch48 Q1:	0.8030	0.5265	0.6084	0.7181
2024-04-21 17:51:51.399: epoch49 Q1:	0.8031	0.5267	0.6087	0.7182
2024-04-21 17:51:51.814: epoch50 Q1:	0.8029	0.5265	0.6081	0.7181
2024-04-21 17:51:52.131: epoch51 Q1:	0.8034	0.5276	0.6094	0.7185
2024-04-21 17:51:52.543: epoch52 Q1:	0.8037	0.5285	0.6102	0.7188
2024-04-21 17:51:52.957: epoch53 Q1:	0.8045	0.5304	0.6123	0.7194
2024-04-21 17:51:53.368: epoch54 Q1:	0.8047	0.5311	0.6128	0.7196
2024-04-21 17:51:53.779: epoch55 Q1:	0.8053	0.5321	0.6140	0.7203
2024-04-21 17:51:54.192: epoch56 Q1:	0.8053	0.5322	0.6142	0.7201
2024-04-21 17:51:54.604: epoch57 Q1:	0.8057	0.5332	0.6150	0.7205
2024-04-21 17:51:55.018: epoch58 Q1:	0.8058	0.5335	0.6153	0.7206
2024-04-21 17:51:55.429: epoch59 Q1:	0.8060	0.5340	0.6159	0.7207
2024-04-21 17:51:55.844: epoch60 Q1:	0.8061	0.5343	0.6162	0.7208
2024-04-21 17:51:56.259: epoch61 Q1:	0.8063	0.5346	0.6166	0.7210
2024-04-21 17:51:56.673: epoch62 Q1:	0.8067	0.5353	0.6174	0.7213
2024-04-21 17:51:57.088: epoch63 Q1:	0.8074	0.5368	0.6190	0.7221
2024-04-21 17:51:57.499: epoch64 Q1:	0.8075	0.5375	0.6192	0.7222
2024-04-21 17:51:57.913: epoch65 Q1:	0.8078	0.5381	0.6200	0.7224
2024-04-21 17:51:58.328: epoch66 Q1:	0.8077	0.5384	0.6202	0.7223
2024-04-21 17:51:58.643: epoch67 Q1:	0.8081	0.5391	0.6210	0.7228
2024-04-21 17:51:59.059: epoch68 Q1:	0.8084	0.5395	0.6216	0.7232
2024-04-21 17:51:59.472: epoch69 Q1:	0.8087	0.5402	0.6223	0.7235
2024-04-21 17:51:59.885: epoch70 Q1:	0.8092	0.5415	0.6235	0.7239
2024-04-21 17:52:00.301: epoch71 Q1:	0.8093	0.5417	0.6238	0.7240
2024-04-21 17:52:00.717: epoch72 Q1:	0.8097	0.5424	0.6247	0.7243
2024-04-21 17:52:01.131: epoch73 Q1:	0.8099	0.5427	0.6252	0.7244
2024-04-21 17:52:01.542: epoch74 Q1:	0.8103	0.5434	0.6260	0.7248
2024-04-21 17:52:01.955: epoch75 Q1:	0.8103	0.5436	0.6262	0.7247
2024-04-21 17:52:02.365: epoch76 Q1:	0.8105	0.5441	0.6267	0.7249
2024-04-21 17:52:02.776: epoch77 Q1:	0.8106	0.5442	0.6269	0.7250
2024-04-21 17:52:03.193: epoch78 Q1:	0.8107	0.5445	0.6272	0.7251
2024-04-21 17:52:03.607: epoch79 Q1:	0.8110	0.5453	0.6279	0.7253
2024-04-21 17:52:04.019: epoch80 Q1:	0.8110	0.5453	0.6281	0.7253
2024-04-21 17:52:04.433: epoch81 Q1:	0.8109	0.5450	0.6280	0.7251
2024-04-21 17:52:04.753: epoch82 Q1:	0.8110	0.5453	0.6285	0.7252
2024-04-21 17:52:05.174: epoch83 Q1:	0.8112	0.5461	0.6289	0.7254
2024-04-21 17:52:05.612: epoch84 Q1:	0.8113	0.5463	0.6291	0.7256
2024-04-21 17:52:06.031: epoch85 Q1:	0.8113	0.5462	0.6291	0.7256
2024-04-21 17:52:06.446: epoch86 Q1:	0.8117	0.5463	0.6294	0.7265
2024-04-21 17:52:06.867: epoch87 Q1:	0.8119	0.5466	0.6298	0.7269
2024-04-21 17:52:07.304: epoch88 Q1:	0.8123	0.5473	0.6306	0.7274
2024-04-21 17:52:07.725: epoch89 Q1:	0.8124	0.5477	0.6310	0.7274
2024-04-21 17:52:08.168: epoch90 Q1:	0.8122	0.5472	0.6308	0.7272
2024-04-21 17:52:08.485: epoch91 Q1:	0.8122	0.5469	0.6309	0.7272
2024-04-21 17:52:08.801: epoch92 Q1:	0.8125	0.5473	0.6314	0.7276
2024-04-21 17:52:09.235: epoch93 Q1:	0.8126	0.5477	0.6319	0.7276
2024-04-21 17:52:09.650: epoch94 Q1:	0.8123	0.5473	0.6314	0.7273
2024-04-21 17:52:09.966: epoch95 Q1:	0.8124	0.5475	0.6318	0.7274
2024-04-21 17:52:10.282: epoch96 Q1:	0.8122	0.5471	0.6313	0.7272
2024-04-21 17:52:10.598: epoch97 Q1:	0.8122	0.5471	0.6313	0.7272
2024-04-21 17:52:10.915: epoch98 Q1:	0.8123	0.5473	0.6315	0.7273
2024-04-21 17:52:11.232: epoch99 Q1:	0.8120	0.5465	0.6306	0.7273
2024-04-21 17:52:11.551: epoch100 Q1:	0.8120	0.5466	0.6307	0.7273
2024-04-21 17:52:11.868: epoch101 Q1:	0.8122	0.5471	0.6312	0.7274
2024-04-21 17:52:12.184: epoch102 Q1:	0.8124	0.5474	0.6315	0.7278
2024-04-21 17:52:12.502: epoch103 Q1:	0.8123	0.5472	0.6313	0.7277
2024-04-21 17:52:12.818: epoch104 Q1:	0.8123	0.5472	0.6313	0.7277
2024-04-21 17:52:13.133: epoch105 Q1:	0.8125	0.5478	0.6320	0.7278
2024-04-21 17:52:13.450: epoch106 Q1:	0.8130	0.5485	0.6327	0.7288
2024-04-21 17:52:13.870: epoch107 Q1:	0.8132	0.5485	0.6331	0.7291
2024-04-21 17:52:14.286: epoch108 Q1:	0.8131	0.5482	0.6327	0.7292
2024-04-21 17:52:14.601: epoch109 Q1:	0.8130	0.5480	0.6325	0.7291
2024-04-21 17:52:14.918: epoch110 Q1:	0.8132	0.5483	0.6328	0.7295
2024-04-21 17:52:15.334: epoch111 Q1:	0.8134	0.5487	0.6333	0.7296
2024-04-21 17:52:15.748: epoch112 Q1:	0.8133	0.5483	0.6328	0.7297
2024-04-21 17:52:16.064: epoch113 Q1:	0.8132	0.5481	0.6326	0.7296
2024-04-21 17:52:16.380: epoch114 Q1:	0.8134	0.5485	0.6330	0.7298
2024-04-21 17:52:16.796: epoch115 Q1:	0.8139	0.5496	0.6338	0.7304
2024-04-21 17:52:17.211: epoch116 Q1:	0.8137	0.5491	0.6334	0.7303
2024-04-21 17:52:17.528: epoch117 Q1:	0.8138	0.5494	0.6336	0.7304
2024-04-21 17:52:17.844: epoch118 Q1:	0.8137	0.5492	0.6336	0.7302
2024-04-21 17:52:18.162: epoch119 Q1:	0.8135	0.5488	0.6332	0.7300
2024-04-21 17:52:18.477: epoch120 Q1:	0.8139	0.5495	0.6340	0.7304
2024-04-21 17:52:18.893: epoch121 Q1:	0.8138	0.5498	0.6341	0.7303
