2024-04-21 18:03:22.169: Namespace(name='usps', cuda=True, n_z=10, alpha=0.1, beta=0.05, lr=0.001, n_clusters=10, n_input=256)				
2024-04-21 18:03:22.169: metrics:	 acc	 nmi	 ari	 f1
2024-04-21 18:03:44.976: epoch68 Q1:	0.7506	0.7403	0.6723	0.7351
2024-04-21 18:03:45.285: epoch69 Q1:	0.7519	0.7421	0.6739	0.7362
2024-04-21 18:03:45.660: epoch70 Q1:	0.7522	0.7434	0.6748	0.7368
2024-04-21 18:03:46.030: epoch71 Q1:	0.7524	0.7467	0.6776	0.7382
2024-04-21 18:03:46.406: epoch72 Q1:	0.7535	0.7452	0.676	0.7382
2024-04-21 18:03:46.780: epoch73 Q1:	0.7535	0.7474	0.6784	0.739
2024-04-21 18:03:47.153: epoch74 Q1:	0.7541	0.7468	0.6774	0.7391
2024-04-21 18:03:47.525: epoch75 Q1:	0.7526	0.7474	0.6775	0.7384
2024-04-21 18:03:47.835: epoch76 Q1:	0.7537	0.749	0.6794	0.7395
2024-04-21 18:03:48.145: epoch77 Q1:	0.7554	0.7473	0.6782	0.7402
2024-04-21 18:03:48.518: epoch78 Q1:	0.754	0.7492	0.6795	0.7399
2024-04-21 18:03:48.827: epoch79 Q1:	0.7534	0.7498	0.6801	0.7398
2024-04-21 18:03:49.137: epoch80 Q1:	0.7556	0.7493	0.6801	0.7409
2024-04-21 18:03:49.509: epoch81 Q1:	0.7554	0.7502	0.6805	0.741
2024-04-21 18:03:49.819: epoch82 Q1:	0.7539	0.7506	0.6806	0.7404
2024-04-21 18:03:50.128: epoch83 Q1:	0.7551	0.7513	0.6816	0.7412
2024-04-21 18:03:50.439: epoch84 Q1:	0.7561	0.7516	0.6821	0.7416
2024-04-21 18:03:50.814: epoch85 Q1:	0.7551	0.752	0.6821	0.741
2024-04-21 18:03:51.123: epoch86 Q1:	0.7546	0.7508	0.681	0.7408
2024-04-21 18:03:51.433: epoch87 Q1:	0.7547	0.7515	0.6813	0.7407
2024-04-21 18:03:51.743: epoch88 Q1:	0.7563	0.7532	0.6829	0.7418
2024-04-21 18:03:52.118: epoch89 Q1:	0.7558	0.753	0.6827	0.7415
2024-04-21 18:03:52.426: epoch90 Q1:	0.7544	0.752	0.6813	0.7405
2024-04-21 18:03:52.737: epoch91 Q1:	0.7564	0.7526	0.6822	0.7418
2024-04-21 18:03:53.108: epoch92 Q1:	0.7572	0.754	0.6834	0.7424
2024-04-21 18:03:53.486: epoch93 Q1:	0.7562	0.754	0.6831	0.7417
2024-04-21 18:03:53.798: epoch94 Q1:	0.7551	0.7529	0.682	0.7408
2024-04-21 18:03:54.107: epoch95 Q1:	0.756	0.7538	0.6826	0.7415
2024-04-21 18:03:54.418: epoch96 Q1:	0.7565	0.7529	0.682	0.7414
2024-04-21 18:03:54.728: epoch97 Q1:	0.756	0.7532	0.682	0.7412
2024-04-21 18:03:55.039: epoch98 Q1:	0.7556	0.7539	0.6825	0.7411
2024-04-21 18:03:55.348: epoch99 Q1:	0.7563	0.7537	0.6827	0.7416
2024-04-21 18:03:55.661: epoch100 Q1:	0.7566	0.7542	0.6826	0.7417
