2024-04-21 18:03:22.169: Namespace(name='usps', cuda=True, n_z=10, alpha=0.1, beta=0.05, lr=0.001, n_clusters=10, n_input=256)				
2024-04-21 18:03:22.169: metrics:	 acc	 nmi	 ari	 f1
2024-04-21 18:05:02.346: epoch295 Q1:	0.8016	0.7908	0.7257	0.768
2024-04-21 18:05:02.662: epoch296 Q1:	0.802	0.7915	0.7264	0.7682
2024-04-21 18:05:03.039: epoch297 Q1:	0.8023	0.7915	0.7263	0.7683
2024-04-21 18:05:03.416: epoch298 Q1:	0.8023	0.7919	0.7268	0.7687
2024-04-21 18:05:03.791: epoch299 Q1:	0.8023	0.7919	0.727	0.7685
2024-04-21 18:05:04.169: epoch300 Q1:	0.8024	0.7915	0.7265	0.7684
2024-04-21 18:05:04.544: epoch301 Q1:	0.8025	0.7921	0.7271	0.7687
2024-04-21 18:05:04.923: epoch302 Q1:	0.8026	0.7918	0.7268	0.7686
2024-04-21 18:05:05.300: epoch303 Q1:	0.8026	0.7918	0.7269	0.7686
2024-04-21 18:05:05.677: epoch304 Q1:	0.8031	0.792	0.7273	0.769
2024-04-21 18:05:06.050: epoch305 Q1:	0.8024	0.7918	0.7268	0.7688
2024-04-21 18:05:06.364: epoch306 Q1:	0.8035	0.7919	0.7276	0.769
2024-04-21 18:05:06.742: epoch307 Q1:	0.803	0.7926	0.7276	0.7692
2024-04-21 18:05:07.056: epoch308 Q1:	0.804	0.7928	0.7286	0.7698
2024-04-21 18:05:07.433: epoch309 Q1:	0.8035	0.7928	0.7279	0.7696
2024-04-21 18:05:07.746: epoch310 Q1:	0.8045	0.7938	0.7295	0.7703
2024-04-21 18:05:08.123: epoch311 Q1:	0.8038	0.7932	0.7284	0.7698
2024-04-21 18:05:08.440: epoch312 Q1:	0.8032	0.793	0.728	0.7696
2024-04-21 18:05:08.754: epoch313 Q1:	0.8039	0.7927	0.7283	0.7698
2024-04-21 18:05:09.066: epoch314 Q1:	0.8038	0.7935	0.7287	0.7701
2024-04-21 18:05:09.380: epoch315 Q1:	0.8039	0.7931	0.7284	0.7699
2024-04-21 18:05:09.696: epoch316 Q1:	0.8039	0.7934	0.729	0.77
2024-04-21 18:05:10.008: epoch317 Q1:	0.8038	0.7927	0.728	0.7698
2024-04-21 18:05:10.321: epoch318 Q1:	0.8046	0.7935	0.7295	0.7704
2024-04-21 18:05:10.699: epoch319 Q1:	0.804	0.7939	0.7289	0.7703
2024-04-21 18:05:11.012: epoch320 Q1:	0.8049	0.7935	0.7296	0.7705
2024-04-21 18:05:11.388: epoch321 Q1:	0.8032	0.7928	0.7274	0.7696
2024-04-21 18:05:11.701: epoch322 Q1:	0.8051	0.7936	0.7299	0.7707
2024-04-21 18:05:12.085: epoch323 Q1:	0.8038	0.7937	0.7283	0.7705
2024-04-21 18:05:12.401: epoch324 Q1:	0.8055	0.7945	0.7309	0.771
2024-04-21 18:05:12.777: epoch325 Q1:	0.804	0.7943	0.7288	0.7707
2024-04-21 18:05:13.090: epoch326 Q1:	0.8053	0.7943	0.7304	0.7709
2024-04-21 18:05:13.405: epoch327 Q1:	0.8048	0.7939	0.7295	0.7708
2024-04-21 18:05:13.719: epoch328 Q1:	0.805	0.7945	0.7298	0.7709
2024-04-21 18:05:14.034: epoch329 Q1:	0.8053	0.7945	0.7306	0.7712
2024-04-21 18:05:14.347: epoch330 Q1:	0.8057	0.7961	0.7308	0.7717
2024-04-21 18:05:14.724: epoch331 Q1:	0.8053	0.7951	0.7309	0.7714
2024-04-21 18:05:15.038: epoch332 Q1:	0.805	0.794	0.7296	0.7709
2024-04-21 18:05:15.353: epoch333 Q1:	0.8038	0.7938	0.7284	0.7707
2024-04-21 18:05:15.667: epoch334 Q1:	0.8057	0.7945	0.7309	0.7713
2024-04-21 18:05:16.044: epoch335 Q1:	0.8048	0.7947	0.7297	0.7712
2024-04-21 18:05:16.357: epoch336 Q1:	0.8044	0.7941	0.7291	0.7709
2024-04-21 18:05:16.674: epoch337 Q1:	0.806	0.7947	0.7313	0.7715
2024-04-21 18:05:17.051: epoch338 Q1:	0.8054	0.7955	0.7306	0.7718
2024-04-21 18:05:17.365: epoch339 Q1:	0.8052	0.7949	0.7302	0.7714
2024-04-21 18:05:17.681: epoch340 Q1:	0.8058	0.795	0.7312	0.7719
2024-04-21 18:05:17.994: epoch341 Q1:	0.8058	0.7956	0.7309	0.7718
2024-04-21 18:05:18.307: epoch342 Q1:	0.8059	0.7951	0.7311	0.7719
2024-04-21 18:05:18.622: epoch343 Q1:	0.8055	0.7949	0.7308	0.7719
2024-04-21 18:05:18.936: epoch344 Q1:	0.8062	0.7959	0.7313	0.772
2024-04-21 18:05:19.313: epoch345 Q1:	0.8057	0.7949	0.7307	0.7719
2024-04-21 18:05:19.625: epoch346 Q1:	0.8061	0.7958	0.7314	0.7722
2024-04-21 18:05:19.941: epoch347 Q1:	0.8062	0.795	0.7311	0.7721
2024-04-21 18:05:20.319: epoch348 Q1:	0.8066	0.7965	0.7324	0.7726
2024-04-21 18:05:20.697: epoch349 Q1:	0.8057	0.795	0.7305	0.772
2024-04-21 18:05:21.012: epoch350 Q1:	0.8067	0.7965	0.7323	0.7727
2024-04-21 18:05:21.387: epoch351 Q1:	0.8061	0.7957	0.7315	0.7724
2024-04-21 18:05:21.701: epoch352 Q1:	0.8063	0.7965	0.7318	0.7725
2024-04-21 18:05:22.017: epoch353 Q1:	0.8072	0.7972	0.7331	0.7733
2024-04-21 18:05:22.396: epoch354 Q1:	0.8059	0.7964	0.7316	0.7726
2024-04-21 18:05:22.712: epoch355 Q1:	0.8068	0.7965	0.7324	0.7727
2024-04-21 18:05:23.024: epoch356 Q1:	0.8055	0.7964	0.7314	0.7724
2024-04-21 18:05:23.339: epoch357 Q1:	0.8065	0.7962	0.7319	0.7727
2024-04-21 18:05:23.653: epoch358 Q1:	0.8059	0.7967	0.7321	0.7725
2024-04-21 18:05:23.965: epoch359 Q1:	0.8055	0.7965	0.7309	0.7723
2024-04-21 18:05:24.280: epoch360 Q1:	0.8062	0.7966	0.7322	0.7727
2024-04-21 18:05:24.595: epoch361 Q1:	0.8061	0.7967	0.732	0.7728
2024-04-21 18:05:24.911: epoch362 Q1:	0.806	0.7967	0.7315	0.7727
2024-04-21 18:05:25.224: epoch363 Q1:	0.806	0.7961	0.7317	0.7724
2024-04-21 18:05:25.538: epoch364 Q1:	0.8061	0.7965	0.7315	0.7725
2024-04-21 18:05:25.853: epoch365 Q1:	0.806	0.7964	0.7317	0.7728
2024-04-21 18:05:26.167: epoch366 Q1:	0.8063	0.7967	0.732	0.7729
2024-04-21 18:05:26.480: epoch367 Q1:	0.8057	0.7969	0.7315	0.7727
2024-04-21 18:05:26.797: epoch368 Q1:	0.8058	0.7967	0.7316	0.7728
2024-04-21 18:05:27.112: epoch369 Q1:	0.8058	0.797	0.7316	0.7729
2024-04-21 18:05:27.427: epoch370 Q1:	0.8062	0.7974	0.7323	0.7733
2024-04-21 18:05:27.741: epoch371 Q1:	0.8057	0.7968	0.7315	0.7726
2024-04-21 18:05:28.056: epoch372 Q1:	0.8059	0.7971	0.7319	0.773
2024-04-21 18:05:28.372: epoch373 Q1:	0.8057	0.7971	0.7318	0.7727
2024-04-21 18:05:28.686: epoch374 Q1:	0.806	0.7977	0.7321	0.7733
2024-04-21 18:05:29.001: epoch375 Q1:	0.8054	0.7978	0.7317	0.7728
2024-04-21 18:05:29.317: epoch376 Q1:	0.806	0.7979	0.7323	0.7732
2024-04-21 18:05:29.632: epoch377 Q1:	0.8052	0.7978	0.7315	0.7727
2024-04-21 18:05:29.946: epoch378 Q1:	0.8059	0.7973	0.7318	0.773
2024-04-21 18:05:30.260: epoch379 Q1:	0.8055	0.7982	0.7319	0.7731
2024-04-21 18:05:30.575: epoch380 Q1:	0.8051	0.7971	0.731	0.7727
2024-04-21 18:05:30.890: epoch381 Q1:	0.8055	0.7984	0.7322	0.7732
2024-04-21 18:05:31.204: epoch382 Q1:	0.8054	0.7981	0.7318	0.773
2024-04-21 18:05:31.519: epoch383 Q1:	0.8053	0.7988	0.732	0.7734
2024-04-21 18:05:31.835: epoch384 Q1:	0.8055	0.7979	0.7319	0.773
2024-04-21 18:05:32.151: epoch385 Q1:	0.805	0.7983	0.7317	0.7733
2024-04-21 18:05:32.464: epoch386 Q1:	0.8053	0.7979	0.7317	0.7728
2024-04-21 18:05:32.779: epoch387 Q1:	0.8052	0.7983	0.7319	0.7731
2024-04-21 18:05:33.093: epoch388 Q1:	0.805	0.7985	0.7316	0.7734
2024-04-21 18:05:33.410: epoch389 Q1:	0.805	0.7986	0.7319	0.7731
2024-04-21 18:05:33.724: epoch390 Q1:	0.8059	0.8001	0.7331	0.7741
2024-04-21 18:05:34.038: epoch391 Q1:	0.8047	0.7985	0.7314	0.7731
2024-04-21 18:05:34.353: epoch392 Q1:	0.805	0.7985	0.7321	0.7731
2024-04-21 18:05:34.670: epoch393 Q1:	0.8052	0.7992	0.732	0.7735
2024-04-21 18:05:34.986: epoch394 Q1:	0.8052	0.7992	0.732	0.7735
2024-04-21 18:05:35.300: epoch395 Q1:	0.8049	0.7985	0.7319	0.7732
2024-04-21 18:05:35.616: epoch396 Q1:	0.805	0.7992	0.7317	0.7734
2024-04-21 18:05:35.932: epoch397 Q1:	0.8049	0.7991	0.7321	0.7734
2024-04-21 18:05:36.250: epoch398 Q1:	0.8052	0.7996	0.7323	0.7735
2024-04-21 18:05:36.565: epoch399 Q1:	0.8046	0.7989	0.7313	0.7732
2024-04-21 18:05:36.565: Best Acc is at epoch353:	0.8072	0.7972	0.7331	0.7733
